domain,url,risk_score,category,type,brand,keywords,vt_malicious,vt_suspicious,urlscan_malicious,ip_address,country,timestamp
"visar.ee","https://visar.ee",5,"medium_risk","enterprise_target","visa","",0,0,"false","","","2025-07-10T13:10:15.829Z"
"xn--metalrande-u5a.se","https://xn--metalrande-u5a.se",5,"medium_risk","enterprise_target","meta","",0,0,"false","","","2025-07-10T13:10:32.403Z"
"salusbank.se","https://salusbank.se",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-07-10T13:10:48.680Z"
"esdesigninterior.se","https://esdesigninterior.se",3,"blacklist_match","blacklist_match","","signin",0,0,"false","","","2025-07-10T13:11:04.939Z"
"devisafe.se","https://devisafe.se",5,"medium_risk","enterprise_target","visa","",0,0,"false","","","2025-07-10T13:11:21.266Z"
"jetbank.sk","https://jetbank.sk",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-07-10T13:11:37.514Z"
"authenticdialogue.se","https://authenticdialogue.se",3,"blacklist_match","blacklist_match","","auth",0,0,"false","","","2025-07-10T13:11:53.788Z"
"metamental.se","https://metamental.se",5,"medium_risk","enterprise_target","meta","",0,0,"false","","","2025-07-10T13:12:10.046Z"
"paws-stockholm.se","https://paws-stockholm.se",5,"medium_risk","enterprise_target","aws","",0,0,"false","","","2025-07-10T13:12:26.296Z"
"accountbuddy.se","https://accountbuddy.se",3,"blacklist_match","blacklist_match","","account",0,0,"false","","","2025-07-10T13:12:42.544Z"
"doctorsauthenticate.se","https://doctorsauthenticate.se",3,"blacklist_match","blacklist_match","","auth",0,0,"false","","","2025-07-10T13:12:58.805Z"
"cryptoipant.se","https://cryptoipant.se",3,"blacklist_match","blacklist_match","","crypto",0,0,"false","","","2025-07-10T13:13:15.045Z"
"aisuperintelligence.se","https://aisuperintelligence.se",5,"medium_risk","enterprise_target","intel","",0,0,"false","","","2025-07-10T13:13:31.313Z"
"bankuppropet.se","https://bankuppropet.se",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-07-10T13:13:47.605Z"
"ns1.casinoapplepay.se","https://ns1.casinoapplepay.se",5,"medium_risk","enterprise_target","apple","",0,0,"false","","","2025-07-10T13:14:03.876Z"
"upplevamazonas.se","https://upplevamazonas.se",5,"medium_risk","enterprise_target","amazon","",0,0,"false","","","2025-07-10T13:14:20.129Z"
"draccounting.sk","https://draccounting.sk",3,"blacklist_match","blacklist_match","","account",0,0,"false","","","2025-07-10T13:14:36.467Z"
"account-it.ee","https://account-it.ee",3,"blacklist_match","blacklist_match","","account",0,0,"false","","","2025-07-10T13:14:52.698Z"
"tenantintelligence.se","https://tenantintelligence.se",5,"medium_risk","enterprise_target","intel","",0,0,"false","","","2025-07-10T13:15:08.992Z"
"securest.se","https://securest.se",3,"blacklist_match","blacklist_match","","secure",0,0,"false","","","2025-07-10T13:15:25.673Z"
"banklaan.se","https://banklaan.se",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-07-10T13:15:41.970Z"
"bitcoin-bv.nu","https://bitcoin-bv.nu",3,"blacklist_match","blacklist_match","","bitcoin",0,0,"false","","","2025-07-10T13:15:58.228Z"
"verksamhetsintelligens.se","https://verksamhetsintelligens.se",5,"medium_risk","enterprise_target","intel","",0,0,"false","","","2025-07-10T13:16:14.552Z"
"seb-bank.se","https://seb-bank.se",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-07-10T13:16:30.819Z"
"celion-accounting.se","https://celion-accounting.se",3,"blacklist_match","blacklist_match","","account",0,0,"false","","","2025-07-10T13:16:47.074Z"
