domain,url,risk_score,category,type,brand,keywords,vt_malicious,vt_suspicious,urlscan_malicious,ip_address,country,timestamp
"meta-coach.sk","https://meta-coach.sk",5,"medium_risk","enterprise_target","meta","",0,0,"false","","","2025-07-03T13:10:46.175Z"
"visaljerdittab.se","https://visaljerdittab.se",5,"medium_risk","enterprise_target","visa","",0,0,"false","","","2025-07-03T13:11:02.597Z"
"teslapoprad.sk","https://teslapoprad.sk",5,"medium_risk","enterprise_target","tesla","",0,0,"false","","","2025-07-03T13:11:26.251Z"
"octaveintelligence.ee","https://octaveintelligence.ee",5,"medium_risk","enterprise_target","intel","",0,0,"false","","","2025-07-03T13:11:44.720Z"
"octave-intelligence.ee","https://octave-intelligence.ee",5,"medium_risk","enterprise_target","intel","",0,0,"false","","","2025-07-03T13:12:04.954Z"
"crypto2cash.se","https://crypto2cash.se",3,"blacklist_match","blacklist_match","","crypto",0,0,"false","","","2025-07-03T13:12:21.347Z"
"whitepurepaws.se","https://whitepurepaws.se",5,"medium_risk","enterprise_target","aws","",0,0,"false","","","2025-07-03T13:12:38.202Z"
"psykologinbakom.nu","https://psykologinbakom.nu",3,"blacklist_match","blacklist_match","","login",0,0,"false","","","2025-07-03T13:12:54.549Z"
"confidensbank.se","https://confidensbank.se",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-07-03T13:13:10.888Z"
"ns2.casinoapplepay.se","https://ns2.casinoapplepay.se",5,"medium_risk","enterprise_target","apple","",0,0,"false","","","2025-07-03T13:13:27.699Z"
"callunaminingsolutions.se","https://callunaminingsolutions.se",3,"blacklist_match","blacklist_match","","mining",0,0,"false","","","2025-07-03T13:13:44.243Z"
"wero-wallet.se","https://wero-wallet.se",3,"blacklist_match","blacklist_match","","wallet",0,0,"false","","","2025-07-03T13:14:00.658Z"
"omsorgsbanken.nu","https://omsorgsbanken.nu",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-07-03T13:14:18.506Z"
"granitbanka.nu","https://granitbanka.nu",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-07-03T13:14:36.146Z"
"cryptoipant.se","https://cryptoipant.se",3,"blacklist_match","blacklist_match","","crypto",0,0,"false","","","2025-07-03T13:14:52.777Z"
"ns2.casinomedpaypal.se","https://ns2.casinomedpaypal.se",5,"medium_risk","enterprise_target","paypal","",0,0,"false","","","2025-07-03T13:15:09.627Z"
"swedenbitcoin.se","https://swedenbitcoin.se",3,"blacklist_match","blacklist_match","","bitcoin",0,0,"false","","","2025-07-03T13:15:26.388Z"
"soderhamnsmetallatervinning.se","https://soderhamnsmetallatervinning.se",5,"medium_risk","enterprise_target","meta","",0,0,"false","","","2025-07-03T13:15:42.781Z"
"nordipaws.se","https://nordipaws.se",5,"medium_risk","enterprise_target","aws","",0,0,"false","","","2025-07-03T13:15:59.491Z"
"grantibank.nu","https://grantibank.nu",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-07-03T13:16:15.845Z"
"familjehemmetalexeenko.se","https://familjehemmetalexeenko.se",5,"medium_risk","enterprise_target","meta","",0,0,"false","","","2025-07-03T13:16:32.309Z"
"metaglucin.sk","https://metaglucin.sk",5,"medium_risk","enterprise_target","meta","",0,0,"false","","","2025-07-03T13:16:50.251Z"
"nordpantbank.se","https://nordpantbank.se",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-07-03T13:17:07.380Z"
"metamorfa.se","https://metamorfa.se",5,"medium_risk","enterprise_target","meta","",0,0,"false","","","2025-07-03T13:17:23.864Z"
"ns1.casinoapplepay.se","https://ns1.casinoapplepay.se",5,"medium_risk","enterprise_target","apple","",0,0,"false","","","2025-07-03T13:17:40.257Z"
