domain,url,risk_score,category,type,brand,keywords,vt_malicious,vt_suspicious,urlscan_overall_malicious,urlscan_engines_malicious,urlscan_community_malicious,urlscan_stats_malicious,whois_status,whois_registrar,whois_registration_date,whois_expiration_date,alienvault_verdict,alienvault_malicious,urlvoid_threat_level,urlvoid_detection_ratio,urlvoid_is_threat,vt_available,urlscan_available,whois_available,alienvault_available,urlvoid_available,timestamp
"123bitcoin4u.com","https://123bitcoin4u.com",5,"confirmed_threat","blacklist_match","","bitcoin",1,0,"false","false","false",0,"unknown","","","","","false","SAFE",0,"false","true","false","false","false","true","2025-07-23T09:15:40.733Z"
"123bitcoin.online","https://123bitcoin.online",5,"confirmed_threat","blacklist_match","","bitcoin",1,0,"false","false","false",0,"inactive","","","","","false","SAFE",0,"false","true","false","false","false","true","2025-07-23T09:15:41.545Z"
"123bitcoin.store","https://123bitcoin.store",5,"confirmed_threat","blacklist_match","","bitcoin",1,0,"false","false","false",0,"inactive","","","","","false","SAFE",0,"false","true","false","false","false","true","2025-07-23T09:15:42.339Z"
"123cryptocasinos.com","https://123cryptocasinos.com",4,"blacklist_match","blacklist_match","","crypto",0,1,"false","false","false",0,"unknown","","","","","false","SAFE",0,"false","true","false","false","false","true","2025-07-23T09:16:09.928Z"
"123securesystem.com","https://123securesystem.com",3,"blacklist_match","blacklist_match","","secure",0,0,"false","false","false",0,"unknown","","","","","false","SAFE",0,"false","true","false","false","false","true","2025-07-23T09:16:28.464Z"
"123securesystems.com","https://123securesystems.com",3,"blacklist_match","blacklist_match","","secure",0,0,"false","false","false",0,"unknown","","","","","false","SAFE",0,"false","true","false","false","false","true","2025-07-23T09:16:49.255Z"
"124983-crypto.com","https://124983-crypto.com",3,"blacklist_match","blacklist_match","","crypto",0,0,"false","false","false",0,"unknown","","","","","false","SAFE",0,"false","true","false","false","false","true","2025-07-23T09:17:07.720Z"
"126account.com","https://126account.com",3,"blacklist_match","blacklist_match","","account",0,0,"false","false","false",0,"unknown","","","","","false","SAFE",0,"false","true","true","false","false","true","2025-07-23T09:17:25.802Z"
"127intel.com","https://127intel.com",5,"medium_risk","enterprise_target","intel","",0,0,"false","false","false",0,"unknown","","","","","false","SAFE",0,"false","true","true","false","false","true","2025-07-23T09:17:55.543Z"
"128bet-login.com","https://128bet-login.com",3,"blacklist_match","blacklist_match","","login",0,0,"false","false","false",0,"unknown","","","","","false","SAFE",0,"false","true","true","false","false","true","2025-07-23T09:18:13.339Z"
"1291crypto.com","https://1291crypto.com",4,"blacklist_match","blacklist_match","","crypto",0,1,"false","false","false",0,"unknown","","","","","false","SAFE",0,"false","true","false","false","false","true","2025-07-23T09:18:40.931Z"
"12gacorlogin.site","https://12gacorlogin.site",4,"blacklist_match","blacklist_match","","login",0,1,"false","false","false",0,"inactive","","","","","false","SAFE",0,"false","true","false","false","false","true","2025-07-23T09:18:41.744Z"
