domain,url,risk_score,category,brand,keywords,vt_malicious,vt_suspicious,urlscan_malicious,ip_address,country,timestamp
"verksamhetsintelligens.se","https://verksamhetsintelligens.se",5,"medium_risk","intel","",0,0,"false","","","2025-07-10T13:16:14.552Z"
"y2meta.nu","https://y2meta.nu",5,"medium_risk","meta","",0,0,"false","","","2025-07-10T13:17:03.314Z"
"visareserv.nu","https://visareserv.nu",5,"medium_risk","visa","",0,0,"false","","","2025-07-10T13:17:52.546Z"
"pawsinmotion.se","https://pawsinmotion.se",5,"medium_risk","aws","",0,0,"false","","","2025-07-10T13:18:08.787Z"
"ns2.casinomedapplepay.se","https://ns2.casinomedapplepay.se",5,"medium_risk","apple","",0,0,"false","","","2025-07-10T13:18:25.042Z"
"metaverseai.se","https://metaverseai.se",5,"medium_risk","meta","",0,0,"false","","","2025-07-10T13:18:41.344Z"
"jpmorganpersonalinvesting.se","https://jpmorganpersonalinvesting.se",5,"medium_risk","jpmorgan","",0,0,"false","","","2025-07-10T13:18:57.660Z"
"teslaproducts.se","https://teslaproducts.se",5,"medium_risk","tesla","",0,0,"false","","","2025-07-10T13:19:13.938Z"
"jpmorganpersonalinvesting.sk","https://jpmorganpersonalinvesting.sk",5,"medium_risk","jpmorgan","",0,0,"false","","","2025-07-10T13:19:46.563Z"
"chasen.sk","https://chasen.sk",5,"medium_risk","chase","",0,0,"false","","","2025-07-10T13:20:02.832Z"
"metacoach.sk","https://metacoach.sk",5,"medium_risk","meta","",0,0,"false","","","2025-07-10T13:20:35.554Z"
"applesin.se","https://applesin.se",5,"medium_risk","apple","",0,0,"false","","","2025-07-10T13:20:51.879Z"
"metallfakta.se","https://metallfakta.se",5,"medium_risk","meta","",0,0,"false","","","2025-07-10T13:21:08.777Z"
"teslacarsbodyshop.sk","https://teslacarsbodyshop.sk",5,"medium_risk","tesla","",0,0,"false","","","2025-07-10T13:21:41.299Z"
