domain,online,online_http_status,match_count,tags,status_code,banned,report_found,has_engine_table,detection_count,undetection_count,unknown_count,total,final_url
0-mail.com,True,200,1,blacklistKeywords.fraud,200,False,True,True,1,38,0,39,https://www.urlvoid.com/scan/0-mail.com/
0-designing.com,True,200,1,blacklistKeywords.phishing,200,False,True,True,0,39,0,39,https://www.urlvoid.com/scan/0-designing.com/
0-bitcoin.com,True,200,1,blacklistKeywords.crypto_scam,200,False,True,True,1,38,0,39,https://www.urlvoid.com/scan/0-bitcoin.com/
0-green-island-branford-connecticut-ct-06405.com,True,200,2,"blacklistKeywords.phishing,enterpriseBrands.fortune_100",200,False,True,True,0,39,0,39,https://www.urlvoid.com/scan/0-green-island-branford-connecticut-ct-06405.com/
0-2cjqicl420an.com,True,200,1,blacklistKeywords.fraud,200,False,True,True,0,39,0,39,https://www.urlvoid.com/scan/0-2cjqicl420an.com/
0-800-dryclean.com,True,200,1,blacklistKeywords.fraud,200,False,True,True,1,38,0,39,https://www.urlvoid.com/scan/0-800-dryclean.com/
0-squared.com,True,200,1,enterpriseBrands.financial,200,False,True,True,0,39,0,39,https://www.urlvoid.com/scan/0-squared.com/
0-6box.com,True,200,1,enterpriseBrands.it_top_100_extra,200,False,True,True,1,38,0,39,https://www.urlvoid.com/scan/0-6box.com/
0-1-cloud.com,True,200,1,blacklistKeywords.fraud,200,False,True,True,1,38,0,39,https://www.urlvoid.com/scan/0-1-cloud.com/
0-email.com,True,200,1,blacklistKeywords.fraud,200,False,True,True,0,39,0,39,https://www.urlvoid.com/scan/0-email.com/
0-bankholding.com,True,200,1,blacklistKeywords.fraud,200,False,True,True,0,39,0,39,https://www.urlvoid.com/scan/0-bankholding.com/
0-bankgroup.com,True,200,2,blacklistKeywords.fraud,200,False,True,True,0,39,0,39,https://www.urlvoid.com/scan/0-bankgroup.com/
0-60exteriorcleaning.com,True,200,1,blacklistKeywords.fraud,200,False,True,True,0,39,0,39,https://www.urlvoid.com/scan/0-60exteriorcleaning.com/
