domain,url,risk_score,category,type,brand,keywords,vt_malicious,vt_suspicious,urlscan_malicious,whois_status,whois_registrar,whois_registration_date,whois_expiration_date,ip_address,country,vt_available,urlscan_available,whois_available,timestamp
"01564ec86b674cdeb0f2813d3de76f22-xds.alb.azure.com","https://01564ec86b674cdeb0f2813d3de76f22-xds.alb.azure.com",5,"medium_risk","enterprise_target","azure","",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:53:50.057Z"
"0156.alb.azure.com","https://0156.alb.azure.com",5,"medium_risk","enterprise_target","azure","",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:53:50.845Z"
"0159.alb.azure.com","https://0159.alb.azure.com",5,"medium_risk","enterprise_target","azure","",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:53:51.635Z"
"0159b628724a4af784ec2ce5e12ca1b4.alb.azure.com","https://0159b628724a4af784ec2ce5e12ca1b4.alb.azure.com",5,"medium_risk","enterprise_target","azure","",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:53:52.441Z"
"0159b628724a4af784ec2ce5e12ca1b4-xds.alb.azure.com","https://0159b628724a4af784ec2ce5e12ca1b4-xds.alb.azure.com",5,"medium_risk","enterprise_target","azure","",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:53:53.243Z"
"017b4b43fd-testing.internal.studio.gamma.sequoia.aws.dev","https://017b4b43fd-testing.internal.studio.gamma.sequoia.aws.dev",5,"medium_risk","enterprise_target","aws","",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:53:54.036Z"
"018a1081611743.westus.airflow.svc.datafactory.azure.com","https://018a1081611743.westus.airflow.svc.datafactory.azure.com",5,"medium_risk","enterprise_target","azure","",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:53:54.821Z"
"019e40bf7e06422da69d33458f790a3f.alb.azure.com","https://019e40bf7e06422da69d33458f790a3f.alb.azure.com",5,"medium_risk","enterprise_target","azure","",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:53:55.608Z"
"019e40bf7e06422da69d33458f790a3f-xds.alb.azure.com","https://019e40bf7e06422da69d33458f790a3f-xds.alb.azure.com",5,"medium_risk","enterprise_target","azure","",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:53:56.401Z"
"019e.alb.azure.com","https://019e.alb.azure.com",5,"medium_risk","enterprise_target","azure","",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:53:57.185Z"
"01a82f68d6b0479bb377709b6808ede3.alb.azure.com","https://01a82f68d6b0479bb377709b6808ede3.alb.azure.com",5,"medium_risk","enterprise_target","azure","",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:53:57.972Z"
"01a82f68d6b0479bb377709b6808ede3-xds.alb.azure.com","https://01a82f68d6b0479bb377709b6808ede3-xds.alb.azure.com",5,"medium_risk","enterprise_target","azure","",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:53:58.761Z"
"01a8.alb.azure.com","https://01a8.alb.azure.com",5,"medium_risk","enterprise_target","azure","",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:53:59.555Z"
"01c04752231742.northcentralus.airflow.svc.datafactory.azure.com","https://01c04752231742.northcentralus.airflow.svc.datafactory.azure.com",5,"medium_risk","enterprise_target","azure","",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:54:00.346Z"
"01c88609441742.canadacentral.airflow.svc.datafactory.azure.com","https://01c88609441742.canadacentral.airflow.svc.datafactory.azure.com",5,"medium_risk","enterprise_target","azure","",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:54:01.145Z"
"01jtpfxb42d488kzs4r56fsmng.tenant.liquidmetal.run","https://01jtpfxb42d488kzs4r56fsmng.tenant.liquidmetal.run",5,"medium_risk","enterprise_target","meta","",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:54:01.933Z"
"01jyhbc8e3xfvjsd438jch3asx.tenant.liquidmetal.run","https://01jyhbc8e3xfvjsd438jch3asx.tenant.liquidmetal.run",5,"medium_risk","enterprise_target","meta","",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:54:02.723Z"
"01jyhbqgd04z804rxddzbxjwx6.tenant.liquidmetal.run","https://01jyhbqgd04z804rxddzbxjwx6.tenant.liquidmetal.run",5,"medium_risk","enterprise_target","meta","",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:54:03.510Z"
"0202updates.com","https://0202updates.com",3,"blacklist_match","blacklist_match","","update",0,0,"false","unknown","Wix.com Ltd.","2024-10-22T11:25:36Z","2025-10-22T11:25:36Z","","","false","true","true","2025-07-07T11:54:19.931Z"
