domain,url,risk_score,category,brand,keywords,vt_malicious,vt_suspicious,urlscan_malicious,whois_status,whois_registrar,whois_registration_date,whois_expiration_date,ip_address,country,vt_available,urlscan_available,whois_available,timestamp
"labanksweightloss.com","https://labanksweightloss.com",3,"blacklist_match","","bank",0,0,"false","unknown","Network Solutions, LLC","2025-06-10T16:34:13Z","2026-06-10T16:34:13Z","","","false","true","true","2025-07-07T11:43:33.096Z"
"labawse.com","https://labawse.com",5,"medium_risk","aws","",0,0,"false","unknown","Name SRS AB","2025-07-03T05:42:57Z","2026-07-03T05:42:57Z","","","false","true","true","2025-07-07T11:43:49.720Z"
"labellezzaintelligente.com","https://labellezzaintelligente.com",7,"medium_risk","intel","",0,0,"false","active","Register SPA","2025-06-13T09:53:21Z","2026-06-13T09:53:21Z","","","false","false","true","2025-07-07T11:44:08.359Z"
"labesmetal.com","https://labesmetal.com",5,"medium_risk","meta","",0,0,"false","unknown","Squarespace Domains II LLC","2025-06-17T17:33:38Z","2026-06-17T17:33:38Z","","","false","false","true","2025-07-07T11:44:25.559Z"
"labitcoinmami.com","https://labitcoinmami.com",3,"blacklist_match","","bitcoin",0,0,"false","unknown","Wix.com Ltd.","2025-06-23T14:25:22Z","2027-06-23T14:25:22Z","","","false","true","true","2025-07-07T11:44:42.488Z"
"laboracle.com","https://laboracle.com",5,"medium_risk","oracle","",0,0,"false","unknown","GoDaddy.com, LLC","2025-06-29T18:47:35Z","2028-06-29T18:47:35Z","","","false","false","true","2025-07-07T11:44:59.669Z"
"labormarketupdate.com","https://labormarketupdate.com",3,"blacklist_match","","update",0,0,"false","unknown","GoDaddy.com, LLC","2025-06-21T16:08:01Z","2030-06-21T16:08:01Z","","","false","false","true","2025-07-07T11:45:18.407Z"
"labourlawssolutions.com","https://labourlawssolutions.com",5,"medium_risk","aws","",0,0,"false","unknown","HOSTINGER operations, UAB","2025-06-10T06:35:08Z","2027-06-10T06:35:08Z","","","false","false","true","2025-07-07T11:45:35.383Z"
"laboxbitcoin.com","https://laboxbitcoin.com",3,"blacklist_match","","bitcoin",0,0,"false","unknown","OVH sas","2025-06-20T22:01:19Z","2026-06-20T22:01:19Z","","","false","false","true","2025-07-07T11:45:52.368Z"
"labsauthrs.com","https://labsauthrs.com",3,"blacklist_match","","auth",0,0,"false","unknown","Spaceship, Inc.","2025-06-27T19:11:04Z","2026-06-27T19:11:04Z","","","false","false","true","2025-07-07T11:46:24.562Z"
"labsmeta.com","https://labsmeta.com",5,"medium_risk","meta","",0,0,"false","unknown","Dynadot Inc","2025-06-19T13:46:18Z","2026-06-19T13:46:18Z","","","false","true","true","2025-07-07T11:46:42.736Z"
"labstheadvisoryibank.com","https://labstheadvisoryibank.com",3,"blacklist_match","","bank",0,0,"false","unknown","Dynadot Inc","2025-07-02T18:10:37Z","2026-07-02T18:10:37Z","","","false","true","true","2025-07-07T11:46:59.477Z"
"labstheauthrs.com","https://labstheauthrs.com",3,"blacklist_match","","auth",0,0,"false","unknown","Spaceship, Inc.","2025-06-27T19:11:13Z","2026-06-27T19:11:13Z","","","false","false","true","2025-07-07T11:47:15.681Z"
"labsuperintelligence.com","https://labsuperintelligence.com",5,"medium_risk","intel","",0,0,"false","unknown","Unstoppable Domains Inc.","2025-07-04T04:32:48Z","2026-07-04T04:32:48Z","","","false","false","true","2025-07-07T11:47:31.911Z"
"labubumeta.com","https://labubumeta.com",5,"medium_risk","meta","",0,0,"false","unknown","Dynadot Inc","2025-06-13T01:23:52Z","2026-06-13T01:23:52Z","","","false","false","true","2025-07-07T11:47:50.361Z"
"labubuwallet.com","https://labubuwallet.com",3,"blacklist_match","","wallet",0,0,"false","unknown","Dynadot Inc","2025-06-10T02:33:49Z","2026-06-10T02:33:49Z","","","false","true","true","2025-07-07T11:48:08.128Z"
"lacabanedelametamorphose.com","https://lacabanedelametamorphose.com",5,"medium_risk","meta","",0,0,"false","unknown","IONOS SE","2025-06-10T14:01:18Z","2026-06-10T14:01:18Z","","","false","false","true","2025-07-07T11:48:24.705Z"
"lacasaintelligente.com","https://lacasaintelligente.com",5,"medium_risk","intel","",0,0,"false","unknown","Tucows Domains Inc.","2025-07-03T15:01:51Z","2026-07-03T15:01:51Z","","","false","true","true","2025-07-07T11:48:41.273Z"
"laceyaccountingservices.com","https://laceyaccountingservices.com",3,"blacklist_match","","account",0,0,"false","unknown","Cosmotown, Inc.","2025-07-04T20:22:48Z","2026-07-04T20:22:48Z","","","false","false","true","2025-07-07T11:48:57.405Z"
"laceycarterauthor.com","https://laceycarterauthor.com",3,"blacklist_match","","auth",0,0,"false","unknown","Automattic Inc.","2025-06-24T02:20:45Z","2026-06-24T02:20:45Z","","","false","false","true","2025-07-07T11:49:13.631Z"
"la-coalition-fermat-tesla.com","https://la-coalition-fermat-tesla.com",7,"medium_risk","tesla","",0,0,"false","active","Realtime Register B.V.","2025-06-16T14:45:06Z","2026-06-16T14:45:06Z","","","false","true","true","2025-07-07T11:49:29.909Z"
"lacommunitybankltd.com","https://lacommunitybankltd.com",3,"blacklist_match","","bank",0,0,"false","unknown","DreamHost, LLC","2025-06-16T06:43:10Z","2026-06-16T06:43:10Z","","","false","false","true","2025-07-07T11:49:46.939Z"
"laconsultainteligente.com","https://laconsultainteligente.com",5,"medium_risk","intel","",0,0,"false","unknown","Automattic Inc.","2025-06-28T23:19:52Z","2026-06-28T23:19:52Z","","","false","false","true","2025-07-07T11:50:04.504Z"
"ladangtotologin.com","https://ladangtotologin.com",3,"blacklist_match","","login",0,0,"false","unknown","NameCheap, Inc.","2025-06-27T03:19:45Z","2026-06-27T03:19:45Z","","","false","true","true","2025-07-07T11:50:58.737Z"
"ladbitcoin.com","https://ladbitcoin.com",3,"blacklist_match","","bitcoin",0,0,"false","unknown","Porkbun LLC","2025-06-27T11:37:22Z","2026-06-27T11:37:22Z","","","false","false","true","2025-07-07T11:51:14.829Z"
"ladybugvisa.com","https://ladybugvisa.com",5,"medium_risk","visa","",0,0,"false","unknown","P.A. Viet Nam Company Limited","2025-07-01T11:01:29Z","2026-07-01T11:01:29Z","","","false","false","true","2025-07-07T11:51:31.785Z"
"ladyvisa.com","https://ladyvisa.com",5,"medium_risk","visa","",0,0,"false","unknown","GoDaddy.com, LLC","2025-06-26T15:35:58Z","2026-06-26T15:35:58Z","","","false","false","true","2025-07-07T11:51:48.711Z"
"lafappleby.com","https://lafappleby.com",5,"medium_risk","apple","",0,0,"false","unknown","Squarespace Domains II LLC","2025-06-16T18:41:00Z","2026-06-16T18:41:00Z","","","false","true","true","2025-07-07T11:52:05.133Z"
"lafresquedelintelligenceartificielle.com","https://lafresquedelintelligenceartificielle.com",5,"medium_risk","intel","",0,0,"false","unknown","OVH sas","2025-06-11T11:02:19Z","2026-06-11T11:02:19Z","","","false","false","true","2025-07-07T11:52:22.854Z"
"lagalaxypayment.com","https://lagalaxypayment.com",3,"blacklist_match","","payment",0,0,"false","unknown","Name.com, Inc.","2025-07-02T08:20:19Z","2026-07-02T08:20:19Z","","","false","true","true","2025-07-07T11:52:39.295Z"
"lagobank.com","https://lagobank.com",5,"medium_risk","","bank",0,0,"false","active","DropCatch.com 444 LLC","2025-06-14T18:35:59Z","2026-06-14T18:35:59Z","","","false","true","true","2025-07-07T11:52:58.173Z"
"lagoscrypto.com","https://lagoscrypto.com",3,"blacklist_match","","crypto",0,0,"false","unknown","NameCheap, Inc.","2025-06-28T02:08:53Z","2026-06-28T02:08:53Z","","","false","false","true","2025-07-07T11:53:16.008Z"
